"agency","fiscal_year","n","n_salaried","n_hourly","n_daily"
"STATEN ISLAND COMMUNITY BD #3",2014,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2015,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2016,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2017,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2018,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2019,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2020,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2021,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2022,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2023,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2024,3,3,0,0
"STATEN ISLAND COMMUNITY BD #3",2025,2,2,0,0
"TAX COMMISSION",2014,45,36,6,0
"TAX COMMISSION",2015,56,38,15,0
"TAX COMMISSION",2016,54,38,12,0
"TAX COMMISSION",2017,55,38,13,0
"TAX COMMISSION",2018,55,39,12,0
"TAX COMMISSION",2019,57,43,10,0
"TAX COMMISSION",2020,60,45,10,0
"TAX COMMISSION",2021,55,42,8,0
"TAX COMMISSION",2022,60,43,13,0
"TAX COMMISSION",2023,56,41,12,0
"TAX COMMISSION",2024,45,37,4,0
"TAX COMMISSION",2025,45,36,5,0
"TAXI & LIMOUSINE COMMISSION",2014,550,470,78,2
"TAXI & LIMOUSINE COMMISSION",2015,609,533,74,2
"TAXI & LIMOUSINE COMMISSION",2016,588,512,74,2
"TAXI & LIMOUSINE COMMISSION",2017,579,508,69,2
"TAXI & LIMOUSINE COMMISSION",2018,591,524,66,1
"TAXI & LIMOUSINE COMMISSION",2019,621,544,74,3
"TAXI & LIMOUSINE COMMISSION",2020,634,571,60,3
"TAXI & LIMOUSINE COMMISSION",2021,561,508,50,3
"TAXI & LIMOUSINE COMMISSION",2022,517,474,41,2
"TAXI & LIMOUSINE COMMISSION",2023,452,412,38,2
"TAXI & LIMOUSINE COMMISSION",2024,453,414,37,2
"TAXI & LIMOUSINE COMMISSION",2025,426,391,33,2
"TEACHERS RETIREMENT SYSTEM",2014,388,376,12,0
"TEACHERS RETIREMENT SYSTEM",2015,383,369,14,0
"TEACHERS RETIREMENT SYSTEM",2016,367,364,3,0
"TEACHERS RETIREMENT SYSTEM",2017,368,350,18,0
"TEACHERS RETIREMENT SYSTEM",2018,382,347,35,0
"TEACHERS RETIREMENT SYSTEM",2019,374,341,33,0
"TEACHERS RETIREMENT SYSTEM",2020,361,331,30,0
"TEACHERS RETIREMENT SYSTEM",2021,366,335,31,0
"TEACHERS RETIREMENT SYSTEM",2022,368,335,33,0
"TEACHERS RETIREMENT SYSTEM",2023,376,344,32,0
"TEACHERS RETIREMENT SYSTEM",2024,391,359,32,0
"TEACHERS RETIREMENT SYSTEM",2025,400,363,37,0
"TECHNOLOGY & INNOVATION",2023,1525,1458,67,0
"TECHNOLOGY & INNOVATION",2024,1509,1484,23,2
"TECHNOLOGY & INNOVATION",2025,1529,1479,48,2
