"title","n","median_tenure","pct_over_20","pct_over_25","pct_under_5","suppressed"
"ASSISTANT DEPUTY COMMISSIONER SS",4,,,,,TRUE
"ASSISTANT DIR OF ADMINISTRATION",1,,,,,TRUE
"ASSISTANT DIRECTOR",10,,,,,TRUE
"ASSISTANT DIRECTOR OF ADMINISTRATION",7,,,,,TRUE
"ASSISTANT DIRECTOR OF EDUCATION",1,,,,,TRUE
"ASSISTANT DIRECTOR OF FINANCE",3,,,,,TRUE
"ASSISTANT DIRECTOR OF INTERGROUP RELATIONS",1,,,,,TRUE
"ASSISTANT DIRECTOR OF LEGAL SERVICES",18,,,,,TRUE
"ASSISTANT DIRECTOR OF NEIGHBORHOOD SAFETY",2,,,,,TRUE
"ASSISTANT DIRECTOR OF TOXICOLOGY",1,,,,,TRUE
"ASSISTANT DISTRICT ATTORNEY",2043,3.69883641341547,0.11062163485071,0.0773372491434165,0.608418991678904,FALSE
"ASSISTANT DISTRICT MANAGER",3,,,,,TRUE
"ASSISTANT ELECTRICAL ENGINEER",73,3.44695414099932,0.0958904109589041,0.0410958904109589,0.547945205479452,FALSE
"ASSISTANT ENVIRONMENTAL ENGINEER",55,4.23545516769336,0.0545454545454545,0.0181818181818182,0.509090909090909,FALSE
"ASSISTANT EXECUTIVE DIRECTOR",12,,,,,TRUE
"ASSISTANT EXECUTIVE SECRETARY",1,,,,,TRUE
"ASSISTANT HOUSING MANAGER",177,16.3641341546886,0.384180790960452,0.288135593220339,0.0847457627118644,FALSE
"ASSISTANT LANDSCAPE ARCHITECT",25,,,,,TRUE
"ASSISTANT LEGISLATIVE REPRESENTATIVE",4,,,,,TRUE
"ASSISTANT MECHANICAL ENGINEER",109,4.00547570157426,0.0825688073394495,0.055045871559633,0.532110091743119,FALSE
"ASSISTANT MEDIA SERVICES TECHNICAN",1,,,,,TRUE
"ASSISTANT PLAN EXAMINER",147,5.46201232032854,0.0272108843537415,0.00680272108843537,0.496598639455782,FALSE
"ASSISTANT PRINCIPAL",3372,20.8104038329911,0.512455516014235,0.25711743772242,0.0068208778173191,FALSE
"ASSISTANT PRINCIPAL ADMIN",1,,,,,TRUE
"ASSISTANT PRINCIPAL ASSIGNED",29,,,,,TRUE
"ASSISTANT PRINCIPAL CUSTODIAL SUPERVISOR",1,,,,,TRUE
"ASSISTANT PRINTING PRESS OPERATOR",17,,,,,TRUE
"ASSISTANT PROFESSOR",317,7.42231348391513,0.135646687697161,0.0630914826498423,0.258675078864353,FALSE
"ASSISTANT RESIDENT BUILDING SUPT",201,13.1663244353183,0.288557213930348,0.208955223880597,0.0845771144278607,FALSE
"ASSISTANT RETIREMENT BENEFITS EXAMINER",121,1.70841889117043,0.0165289256198347,0.0165289256198347,0.958677685950413,FALSE
"ASSISTANT SERGEANT AT ARMS",12,,,,,TRUE
"ASSISTANT SUPERINTENDENT",192,24.4435318275154,0.796875,0.432291666666667,0,FALSE
"ASSISTANT SUPERINTENDENT OF WELFARE SHELTERS",43,11.0937713894593,0.372093023255814,0.209302325581395,0.209302325581395,FALSE
"ASSISTANT TEACHER",7,,,,,TRUE
"ASSISTANT TO COMMISSIONER",1,,,,,TRUE
"ASSISTANT TO HEO",299,5.34702258726899,0.0535117056856187,0.0267558528428094,0.491638795986622,FALSE
"ASSISTANT TO THE CHAIRMAN",1,,,,,TRUE
"ASSISTANT TO THE COMMISSIONER",2,,,,,TRUE
"ASSISTANT TO THE COMMISSIONER OF PARKS AND RECREATION",1,,,,,TRUE
"ASSISTANT TO THE COMPTROLLER",1,,,,,TRUE
"ASSISTANT TO THE DEPUTY COMMISSIONER",1,,,,,TRUE
"ASSISTANT TO THE DEPUTY MAYOR",5,,,,,TRUE
"ASSISTANT TO THE MAYOR",1,,,,,TRUE
"ASSISTANT TO THE PRESIDENT",34,3.44695414099932,0.0294117647058824,0.0294117647058824,0.852941176470588,FALSE
"ASSISTANT TO THE PUBLIC ADVOCATE",22,,,,,TRUE
"ASSISTANT TRANSPORTATION SPECIALIST",7,,,,,TRUE
"ASSISTANT URBAN DESIGNER",7,,,,,TRUE
"ASSISTANT VICE PRESIDENT",14,,,,,TRUE
"ASSOC COMMISSIONER FOR PLANNING REVIEW AND EVALUATION",1,,,,,TRUE
"ASSOC INSPECTOR",22,,,,,TRUE
"ASSOC SPVR OF SCHOOL SECURITY",34,22.993839835729,0.705882352941177,0.411764705882353,0,FALSE
"ASSOC SUPVR OF SCHL SEC",3,,,,,TRUE
"ASSOC WATER USE INSPECTOR MGRL",1,,,,,TRUE
"ASSOCIATE ADMINISTRATOR",15,,,,,TRUE
"ASSOCIATE AIR POLLUTION INSPR",24,,,,,TRUE
"ASSOCIATE ARTS PROGRAMS SPECIALIST",17,,,,,TRUE
"ASSOCIATE BENEFITS OPPORTUNITY SPECIALIST",650,18.3791923340178,0.435384615384615,0.32,0.02,FALSE
"ASSOCIATE CALL CENTER REPRESENTATIVE NON SPVR",40,13.8754277891855,0.225,0.025,0.025,FALSE
"ASSOCIATE CHEMIST",127,13.2621492128679,0.228346456692913,0.118110236220472,0.244094488188976,FALSE
"ASSOCIATE COMMISSIONER",9,,,,,TRUE
"ASSOCIATE COMMISSIONER FOR ADULT SERVICES",1,,,,,TRUE
"ASSOCIATE COMMISSIONER FOR EMPLOYMENT SERVICE",1,,,,,TRUE
"ASSOCIATE COMMISSIONER FOR MANAGEMENT",2,,,,,TRUE
"ASSOCIATE CONTRACT SPECIALIST",70,7.76180698151951,0.128571428571429,0.0571428571428571,0.328571428571429,FALSE
"ASSOCIATE CORRECTIONAL COUNSELOR",41,8.79671457905544,0.048780487804878,0,0.195121951219512,FALSE
"ASSOCIATE DEAN",7,,,,,TRUE
"ASSOCIATE DIRECTOR OFFICE OF NEIGHBORHOOD SAFETY",1,,,,,TRUE
"ASSOCIATE EDUCATION ANALYST",68,6.05886379192334,0.0882352941176471,0.0588235294117647,0.426470588235294,FALSE
"ASSOCIATE EXECUTIVE PROGRAM MANAGER",1,,,,,TRUE
