"name","male","female","total","common","male_weight","female_weight"
"HOLLI",5,8743,8748,TRUE,0.000571559213534522,0.999428440786466
"KIANNA",0,8747,8747,TRUE,0,1
"ROD",8744,0,8744,TRUE,1,0
"HARRIETTE",0,8740,8740,TRUE,0,1
"VIOLETA",5,8730,8735,TRUE,0.000572409845449342,0.999427590154551
"KATALINA",0,8727,8727,TRUE,0,1
"KIP",8568,154,8722,TRUE,0.982343499197432,0.0176565008025682
"LINNIE",712,7997,8709,TRUE,0.0817545068320129,0.918245493167987
"BODIE",8595,109,8704,TRUE,0.987477022058823,0.0125229779411765
"WILTON",8653,41,8694,TRUE,0.995284103979756,0.00471589602024385
"KERRIE",104,8589,8693,TRUE,0.0119636489129184,0.988036351087082
"ANDREAS",8630,49,8679,TRUE,0.994354188270538,0.00564581172946192
"CECILY",0,8673,8673,TRUE,0,1
"AMIYA",0,8672,8672,TRUE,0,1
"MAXIE",4647,4025,8672,TRUE,0.535862546125461,0.464137453874539
"LOLITA",0,8664,8664,TRUE,0,1
"ELLISON",2963,5695,8658,TRUE,0.342226842226842,0.657773157773158
"LUCCA",7889,769,8658,TRUE,0.911180411180411,0.0888195888195888
"ALEXANDREA",0,8656,8656,TRUE,0,1
"GIANCARLO",8652,0,8652,TRUE,1,0
"AURELIO",8634,6,8640,TRUE,0.999305555555556,0.000694444444444444
"WARNER",8554,79,8633,TRUE,0.990849067531565,0.00915093246843507
"ONYX",6849,1783,8632,TRUE,0.793443002780352,0.206556997219648
"ERROL",8631,0,8631,TRUE,1,0
"AUDRINA",0,8629,8629,TRUE,0,1
"DELOIS",122,8500,8622,TRUE,0.0141498492229181,0.985850150777082
"KAIYA",33,8587,8620,TRUE,0.00382830626450116,0.996171693735499
"LUANNE",0,8617,8617,TRUE,0,1
"RETA",0,8616,8616,TRUE,0,1
"CARMEL",1393,7216,8609,TRUE,0.161807410849111,0.838192589150889
"STORMY",900,7709,8609,TRUE,0.104541758624695,0.895458241375305
"JAYLEE",129,8472,8601,TRUE,0.0149982560167422,0.985001743983258
"TRISTIAN",7960,641,8601,TRUE,0.925473782118358,0.0745262178816417
"BRISA",0,8595,8595,TRUE,0,1
"JAMAAL",8542,45,8587,TRUE,0.994759520204961,0.00524047979503901
"KAYLEY",0,8586,8586,TRUE,0,1
"ARES",8284,292,8576,TRUE,0.965951492537313,0.0340485074626866
"HOYT",8562,10,8572,TRUE,0.998833411105926,0.00116658889407373
"UNIQUE",954,7615,8569,TRUE,0.111331543937449,0.888668456062551
"DORETHA",0,8562,8562,TRUE,0,1
"KOHEN",8407,154,8561,TRUE,0.982011447260834,0.017988552739166
"LYMAN",8559,0,8559,TRUE,1,0
"KOA",7702,846,8548,TRUE,0.901029480580253,0.0989705194197473
"LYLAH",0,8547,8547,TRUE,0,1
"GERTIE",0,8532,8532,TRUE,0,1
"JACEY",487,8044,8531,TRUE,0.0570859219317782,0.942914078068222
"RAHEEM",8524,6,8530,TRUE,0.999296600234467,0.000703399765533411
"ASHTYN",2080,6447,8527,TRUE,0.243931042570658,0.756068957429342
"TYLOR",8071,456,8527,TRUE,0.946522809897971,0.0534771901020289
